SL,project_name,migration_direction,prompt_mode,set_folder_name,fold_name,model_name,avg_cosine_similarity,max_cosine_similarity,avg_crystal_bleu,max_crystal_bleu
703,constellation-app_constellation,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.76,0.76,0.37,0.37
704,constellation-app_constellation,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.74,0.74,0.30,0.30
705,constellation-app_constellation,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.34,0.34,0.33,0.33
706,constellation-app_constellation,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.58,0.58,0.71,0.71
707,constellation-app_constellation,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.19,0.19,0.15,0.15
708,constellation-app_constellation,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.28,0.28,0.41,0.41
709,cryptomator_dokany-nio-adapter,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.75,0.75,0.37,0.37
710,cryptomator_dokany-nio-adapter,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.87,0.87,0.69,0.69
711,cryptomator_dokany-nio-adapter,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.72,0.72,0.43,0.43
712,cryptomator_dokany-nio-adapter,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.64,0.64,0.20,0.20
713,cryptomator_dokany-nio-adapter,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.63,0.63,0.72,0.72
714,cryptomator_dokany-nio-adapter,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.56,0.56,0.67,0.67
715,cryptomator_dokany-nio-adapter,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.65,0.65,0.66,0.66
716,cryptomator_dokany-nio-adapter,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.43,0.43,0.60,0.60
717,devaneios-ifsp_turma-de-elite-backend,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.72,0.72,0.43,0.43
718,devaneios-ifsp_turma-de-elite-backend,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.80,0.80,0.56,0.56
719,devaneios-ifsp_turma-de-elite-backend,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.80,0.80,0.51,0.51
720,devaneios-ifsp_turma-de-elite-backend,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.78,0.78,0.41,0.41
721,devaneios-ifsp_turma-de-elite-backend,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.37,0.37,0.30,0.30
722,devaneios-ifsp_turma-de-elite-backend,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.53,0.53,0.57,0.57
723,devaneios-ifsp_turma-de-elite-backend,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.28,0.28,0.25,0.25
724,devaneios-ifsp_turma-de-elite-backend,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.30,0.30,0.21,0.21
725,dhatim_safesql,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.82,0.82,0.42,0.42
726,dhatim_safesql,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.82,0.82,0.51,0.51
727,dhatim_safesql,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.52,0.52,0.22,0.22
728,dhatim_safesql,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.67,0.67,0.36,0.36
729,dhatim_safesql,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.58,0.58,0.23,0.23
730,dhatim_safesql,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.56,0.56,0.43,0.43
731,dhatim_safesql,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.48,0.48,0.21,0.21
732,dhatim_safesql,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.51,0.51,0.18,0.18
733,dlsc-software-consulting-gmbh_GemsFX,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.66,0.66,0.21,0.21
734,dlsc-software-consulting-gmbh_GemsFX,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.66,0.66,0.29,0.29
735,dlsc-software-consulting-gmbh_GemsFX,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.60,0.60,0.24,0.24
736,dlsc-software-consulting-gmbh_GemsFX,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.63,0.63,0.16,0.16
737,dlsc-software-consulting-gmbh_GemsFX,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.35,0.35,0.30,0.30
738,dlsc-software-consulting-gmbh_GemsFX,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.21,0.21,0.32,0.32
739,dlsc-software-consulting-gmbh_GemsFX,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.12,0.12,0.11,0.11
740,dlsc-software-consulting-gmbh_GemsFX,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.34,0.34,0.25,0.25
741,dogtagpki_jss,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.91,0.91,0.66,0.66
742,dogtagpki_jss,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.92,0.92,0.78,0.78
743,dogtagpki_jss,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.61,0.61,0.45,0.45
744,dogtagpki_jss,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.72,0.72,0.50,0.50
745,dogtagpki_jss,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.72,0.72,0.51,0.51
746,dogtagpki_jss,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.85,0.85,0.66,0.66
747,dogtagpki_jss,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.70,0.70,0.37,0.37
748,dogtagpki_jss,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.55,0.55,0.41,0.41
749,eclipse_lemminx,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.35,0.35,0.34,0.34
750,eclipse_lemminx,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.61,0.61,0.37,0.37
751,eclipse_lemminx,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.44,0.44,0.14,0.14
752,eclipse_lemminx,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.53,0.53,0.20,0.20
753,eclipse_lemminx,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.43,0.43,0.08,0.08
754,eclipse_lemminx,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.50,0.50,0.39,0.39
755,eclipse_lemminx,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.39,0.39,0.18,0.18
756,eclipse_lemminx,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.36,0.36,0.23,0.23
757,elixir-cloud-aai_tesk-api,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.66,0.66,0.44,0.44
758,elixir-cloud-aai_tesk-api,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.72,0.72,0.49,0.49
759,elixir-cloud-aai_tesk-api,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.58,0.58,0.26,0.26
760,elixir-cloud-aai_tesk-api,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.68,0.68,0.30,0.30
761,elixir-cloud-aai_tesk-api,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.16,0.16,0.05,0.05
762,elixir-cloud-aai_tesk-api,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.64,0.64,0.38,0.38
763,elixir-cloud-aai_tesk-api,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.33,0.33,0.11,0.11
764,elixir-cloud-aai_tesk-api,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.28,0.28,0.06,0.06
765,encircled_Joiner,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.67,0.67,0.45,0.45
766,encircled_Joiner,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.72,0.72,0.62,0.62
767,encircled_Joiner,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.61,0.61,0.25,0.25
768,encircled_Joiner,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.68,0.68,0.38,0.38
769,encircled_Joiner,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.05,0.05,0.04,0.04
770,encircled_Joiner,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.42,0.42,0.27,0.27
771,encircled_Joiner,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.11,0.11,0.03,0.03
772,encircled_Joiner,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.36,0.36,0.08,0.08
773,feedzai_feedzai-openml,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.75,0.75,0.35,0.35
774,feedzai_feedzai-openml,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.82,0.82,0.56,0.56
775,feedzai_feedzai-openml,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.65,0.65,0.38,0.38
776,feedzai_feedzai-openml,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.60,0.60,0.32,0.32
777,feedzai_feedzai-openml,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.48,0.48,0.31,0.31
778,feedzai_feedzai-openml,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.53,0.53,0.38,0.38
779,feedzai_feedzai-openml,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.22,0.22,0.07,0.07
780,feedzai_feedzai-openml,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.29,0.29,0.09,0.09
781,fiji_Cell_Counter,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.54,0.54,0.35,0.35
782,fiji_Cell_Counter,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.81,0.81,0.63,0.63
783,fiji_Cell_Counter,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.58,0.58,0.21,0.21
784,fiji_Cell_Counter,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.54,0.54,0.24,0.24
785,fiji_Cell_Counter,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.14,0.14,0.15,0.15
786,fiji_Cell_Counter,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.47,0.47,0.41,0.41
787,fiji_Cell_Counter,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.15,0.15,0.06,0.06
788,fiji_Cell_Counter,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.13,0.13,0.06,0.06
789,fiji_KymographBuilder,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.54,0.54,0.35,0.35
790,fiji_KymographBuilder,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.77,0.77,0.59,0.59
791,fiji_KymographBuilder,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.58,0.58,0.21,0.21
792,fiji_KymographBuilder,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.54,0.54,0.24,0.24
793,fiji_KymographBuilder,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.14,0.14,0.15,0.15
794,fiji_KymographBuilder,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.47,0.47,0.39,0.39
795,fiji_KymographBuilder,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.15,0.15,0.06,0.06
796,fiji_KymographBuilder,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.13,0.13,0.06,0.06
797,fiji_SPIM_Registration,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.67,0.67,0.40,0.40
798,fiji_SPIM_Registration,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.72,0.72,0.57,0.57
799,fiji_SPIM_Registration,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.56,0.56,0.25,0.25
800,fiji_SPIM_Registration,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.80,0.80,0.46,0.46
801,fiji_SPIM_Registration,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.14,0.14,0.19,0.19
802,fiji_SPIM_Registration,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.36,0.36,0.43,0.43
803,fiji_SPIM_Registration,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.11,0.11,0.08,0.08
804,fiji_SPIM_Registration,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.13,0.13,0.10,0.10
805,fiji_VIB-lib,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.54,0.54,0.35,0.35
806,fiji_VIB-lib,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.75,0.75,0.59,0.59
807,fiji_VIB-lib,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.58,0.58,0.21,0.21
808,fiji_VIB-lib,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.54,0.54,0.24,0.24
809,fiji_VIB-lib,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.14,0.14,0.15,0.15
810,fiji_VIB-lib,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.47,0.47,0.39,0.39
811,fiji_VIB-lib,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.15,0.15,0.06,0.06
812,fiji_VIB-lib,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.13,0.13,0.06,0.06
813,fiji_cookbook,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.54,0.54,0.35,0.35
814,fiji_cookbook,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.76,0.76,0.61,0.61
815,fiji_cookbook,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.58,0.58,0.21,0.21
816,fiji_cookbook,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.54,0.54,0.24,0.24
817,fiji_cookbook,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.14,0.14,0.15,0.15
818,fiji_cookbook,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.47,0.47,0.41,0.41
819,fiji_cookbook,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.15,0.15,0.06,0.06
820,fiji_cookbook,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.13,0.13,0.06,0.06
821,fiji_pQCT,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.74,0.74,0.60,0.60
822,fiji_pQCT,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.86,0.86,0.77,0.77
823,fiji_pQCT,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.71,0.71,0.34,0.34
824,fiji_pQCT,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.74,0.74,0.32,0.32
825,fiji_pQCT,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.41,0.41,0.26,0.26
826,fiji_pQCT,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.65,0.65,0.57,0.57
827,fiji_pQCT,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.17,0.17,0.06,0.06
828,fiji_pQCT,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.25,0.25,0.18,0.18
829,future-architect_uroborosql,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.58,0.58,0.35,0.35
830,future-architect_uroborosql,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.69,0.69,0.35,0.35
831,future-architect_uroborosql,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.47,0.47,0.35,0.35
832,future-architect_uroborosql,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.75,0.75,0.36,0.36
833,future-architect_uroborosql,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.38,0.38,0.31,0.31
834,future-architect_uroborosql,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.23,0.23,0.28,0.28
835,future-architect_uroborosql,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.39,0.39,0.23,0.23
836,future-architect_uroborosql,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.26,0.26,0.12,0.12
837,gayanvoice_android-vpn-client-ics-openvpn,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.79,0.79,0.54,0.54
838,gayanvoice_android-vpn-client-ics-openvpn,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.66,0.66,0.41,0.41
839,gayanvoice_android-vpn-client-ics-openvpn,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.60,0.60,0.22,0.22
840,gayanvoice_android-vpn-client-ics-openvpn,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.71,0.71,0.41,0.41
841,gayanvoice_android-vpn-client-ics-openvpn,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.03,0.03,0.05,0.05
842,gayanvoice_android-vpn-client-ics-openvpn,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.74,0.74,0.26,0.26
843,gayanvoice_android-vpn-client-ics-openvpn,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.11,0.11,0.07,0.07
844,gayanvoice_android-vpn-client-ics-openvpn,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.31,0.31,0.10,0.10
845,gessnerfl_rabbitmq-queue-management,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.53,0.53,0.54,0.54
846,gessnerfl_rabbitmq-queue-management,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.68,0.68,0.63,0.63
847,gessnerfl_rabbitmq-queue-management,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.57,0.57,0.32,0.32
848,gessnerfl_rabbitmq-queue-management,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.55,0.55,0.26,0.26
849,gessnerfl_rabbitmq-queue-management,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.34,0.34,0.13,0.13
850,gessnerfl_rabbitmq-queue-management,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.43,0.43,0.21,0.21
851,gessnerfl_rabbitmq-queue-management,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.10,0.10,0.03,0.03
852,gessnerfl_rabbitmq-queue-management,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.37,0.37,0.08,0.08
853,gotify_android,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.76,0.76,0.35,0.35
854,gotify_android,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.67,0.67,0.49,0.49
855,gotify_android,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.65,0.65,0.24,0.24
856,gotify_android,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.49,0.49,0.11,0.11
857,gotify_android,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.43,0.43,0.49,0.49
858,gotify_android,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.46,0.46,0.48,0.48
859,gotify_android,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.21,0.21,0.36,0.36
860,gotify_android,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.29,0.29,0.25,0.25
861,hmcts_ccpay-payment-app,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.51,0.51,0.35,0.35
862,hmcts_ccpay-payment-app,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.75,0.75,0.44,0.44
863,hmcts_ccpay-payment-app,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.57,0.57,0.19,0.19
864,hmcts_ccpay-payment-app,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.60,0.60,0.24,0.24
865,hmcts_ccpay-payment-app,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.18,0.18,0.16,0.16
866,hmcts_ccpay-payment-app,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.56,0.56,0.39,0.39
867,hmcts_ccpay-payment-app,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.28,0.28,0.09,0.09
868,hmcts_ccpay-payment-app,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.33,0.33,0.08,0.08
869,ibissource_iaf,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.64,0.64,0.30,0.30
870,ibissource_iaf,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.62,0.62,0.36,0.36
871,ibissource_iaf,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.60,0.60,0.23,0.23
872,ibissource_iaf,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.68,0.68,0.34,0.34
873,ibissource_iaf,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.33,0.33,0.25,0.25
874,ibissource_iaf,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.60,0.60,0.44,0.44
875,ibissource_iaf,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.18,0.18,0.10,0.10
876,ibissource_iaf,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.35,0.35,0.15,0.15
877,ical4j_ical4j-connector,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.51,0.51,0.25,0.25
878,ical4j_ical4j-connector,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.82,0.82,0.59,0.59
879,ical4j_ical4j-connector,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.62,0.62,0.32,0.32
880,ical4j_ical4j-connector,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.51,0.51,0.19,0.19
881,ical4j_ical4j-connector,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.13,0.13,0.25,0.25
882,ical4j_ical4j-connector,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.48,0.48,0.37,0.37
883,ical4j_ical4j-connector,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.16,0.16,0.08,0.08
884,ical4j_ical4j-connector,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.46,0.46,0.21,0.21
885,igniterealtime_openfire-xmldebugger-plugin,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.74,0.74,0.42,0.42
886,igniterealtime_openfire-xmldebugger-plugin,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.81,0.81,0.45,0.45
887,igniterealtime_openfire-xmldebugger-plugin,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.58,0.58,0.40,0.40
888,igniterealtime_openfire-xmldebugger-plugin,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.68,0.68,0.47,0.47
889,igniterealtime_openfire-xmldebugger-plugin,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.52,0.52,0.48,0.48
890,igniterealtime_openfire-xmldebugger-plugin,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.46,0.46,0.51,0.51
891,igniterealtime_openfire-xmldebugger-plugin,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.41,0.41,0.35,0.35
892,igniterealtime_openfire-xmldebugger-plugin,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.49,0.49,0.33,0.33
893,imglib_imglib2,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.56,0.56,0.47,0.47
894,imglib_imglib2,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.67,0.67,0.57,0.57
895,imglib_imglib2,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.54,0.54,0.21,0.21
896,imglib_imglib2,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.62,0.62,0.23,0.23
897,imglib_imglib2,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.29,0.29,0.21,0.21
898,imglib_imglib2,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.63,0.63,0.57,0.57
899,imglib_imglib2,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.21,0.21,0.10,0.10
900,imglib_imglib2,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.26,0.26,0.09,0.09
901,imglib_imglib2-tutorials,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.68,0.68,0.41,0.41
902,imglib_imglib2-tutorials,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.73,0.73,0.53,0.53
903,imglib_imglib2-tutorials,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.56,0.56,0.26,0.26
904,imglib_imglib2-tutorials,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.81,0.81,0.47,0.47
905,imglib_imglib2-tutorials,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.12,0.12,0.18,0.18
906,imglib_imglib2-tutorials,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.36,0.36,0.43,0.43
907,imglib_imglib2-tutorials,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.08,0.08,0.07,0.07
908,imglib_imglib2-tutorials,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.24,0.24,0.12,0.12
909,inferno-framework_fhir-validator-wrapper,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.61,0.61,0.48,0.48
910,inferno-framework_fhir-validator-wrapper,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.70,0.70,0.51,0.51
911,inferno-framework_fhir-validator-wrapper,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.60,0.60,0.29,0.29
912,inferno-framework_fhir-validator-wrapper,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.76,0.76,0.42,0.42
913,inferno-framework_fhir-validator-wrapper,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.52,0.52,0.19,0.19
914,inferno-framework_fhir-validator-wrapper,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.52,0.52,0.37,0.37
915,inferno-framework_fhir-validator-wrapper,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.22,0.22,0.06,0.06
916,inferno-framework_fhir-validator-wrapper,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.27,0.27,0.07,0.07
917,io7m_jcamera,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.55,0.55,0.44,0.44
918,io7m_jcamera,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.56,0.56,0.46,0.46
919,io7m_jcamera,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.65,0.65,0.22,0.22
920,io7m_jcamera,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.61,0.61,0.25,0.25
921,io7m_jcamera,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.08,0.08,0.02,0.02
922,io7m_jcamera,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.21,0.21,0.09,0.09
923,io7m_jcamera,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.26,0.26,0.06,0.06
924,io7m_jcamera,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.23,0.23,0.05,0.05
925,io7m_jmurmur,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.56,0.56,0.44,0.44
926,io7m_jmurmur,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.64,0.64,0.46,0.46
927,io7m_jmurmur,travis_to_gha,zero-shot,Set_Full,,llama3_1_8b,0.64,0.64,0.34,0.34
928,io7m_jmurmur,travis_to_gha,zero-shot,Set_Full,,mistral_7b,0.69,0.69,0.33,0.33
929,io7m_jmurmur,gha_to_travis,zero-shot,Set_Full,,gemma3_12b,0.17,0.17,0.12,0.12
930,io7m_jmurmur,gha_to_travis,zero-shot,Set_Full,,gpt-4o,0.40,0.40,0.21,0.21
931,io7m_jmurmur,gha_to_travis,zero-shot,Set_Full,,llama3_1_8b,0.15,0.15,0.09,0.09
932,io7m_jmurmur,gha_to_travis,zero-shot,Set_Full,,mistral_7b,0.27,0.27,0.08,0.08
933,io7m_jproperties,travis_to_gha,zero-shot,Set_Full,,gemma3_12b,0.49,0.49,0.35,0.35
934,io7m_jproperties,travis_to_gha,zero-shot,Set_Full,,gpt-4o,0.60,0.60,0.39,0.39
