setting,project,direction,model,service,file_path,yaml_parsed,external_ok,yaml_score,external_score,external_tool,external_pass_count,external_total_count,actionlint_ok,travis_lint_ok,score,messages
Few-Shot,alexvasilkov_GestureViews,travis_to_gha,mistral_7b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/alexvasilkov_GestureViews/03_CIgrate_Travis_to_GHA/mistral_7b/actions.yml,True,False,1.0,0.0,actionlint,0,1,False,,0.5,"[actionlint rc=1] actions.yml:10:5: expected scalar node for string value but found sequence node with ""!!seq"" tag [syntax-check] /    | / 10 |     - name: API_KEY_1 /    |     ^ / actions.yml:45:13: got unexpected character '$' while lexing expression, expecting 'a'..'z', 'A'..'Z', '_', '0'..'9', ''', '}', '(', ')', '[', ']', '.', '!', '<', '>', '=', '&', '|', '*', ',', ' ' [expression] /    | / 45 |         if: ${{ github.event_name } === 'push' } && ${{ github.ref_type } === 'tag' } && ${{ github.ref } === 'refs/heads/master' } /    |             ^~~"
Few-Shot,alexvasilkov_GestureViews,gha_to_travis,gemma3_12b,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/alexvasilkov_GestureViews/04_CIgrate_GHA_to_Travis/gemma3_12b/travis.yml,True,True,1.0,1.0,travis lint,1,1,,True,1.0,"[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/alexvasilkov_GestureViews/04_CIgrate_GHA_to_Travis/gemma3_12b/travis.yml: / [x] [warn] on jobs: unknown key test ({:script=>[chmod +x ./gradlew, ./gradlew assembleDebug checkstyle lintDebug --stacktrace]}) / [x] [warn] on jobs: unknown key deploy ({:dependencies=>[test], :script=>[chmod +x ./gradlew, ./gradlew publishSample --stacktrace], :env=>{:SECRET_KEY_1=>$TRAVIS_SECRET_1, :SECRET_KEY_2=>$TRAVIS_SECRET_2}}) / [x] [warn] on android: unknown key build-tools ([28.0.3]) / [x] [warn] on root: deprecated key: sudo (The key `sudo` has no effect anymore.)"
Few-Shot,alexvasilkov_GestureViews,gha_to_travis,llama3_1_8b,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/alexvasilkov_GestureViews/04_CIgrate_GHA_to_Travis/llama3_1_8b/travis.yml,False,False,0.0,0.0,travis lint,0,1,,False,0.0,"YAML parse error: while scanning for the next token / found character '`' that cannot start any token /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/alexvasilkov_GestureViews/04_CIgrate_GHA_to_Travis/llama3_1_8b/travis.yml"", line 22, column 1 | [travis lint rc=1] /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/alexvasilkov_GestureViews/04_CIgrate_GHA_to_Travis/llama3_1_8b/travis.yml is not valid YAML: (<unknown>): found character that cannot start any token while scanning for the next token at line 22 column 1"
Few-Shot,alexvasilkov_GestureViews,gha_to_travis,gpt-4o,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/alexvasilkov_GestureViews/04_CIgrate_GHA_to_Travis/gpt-4o/travis.yml,True,True,1.0,1.0,travis lint,1,1,,True,1.0,[travis lint rc=0] valid
Few-Shot,alexvasilkov_GestureViews,gha_to_travis,mistral_7b,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/alexvasilkov_GestureViews/04_CIgrate_GHA_to_Travis/mistral_7b/travis.yml,False,False,0.0,0.0,travis lint,0,1,,False,0.0,"YAML parse error: mapping values are not allowed here /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/alexvasilkov_GestureViews/04_CIgrate_GHA_to_Travis/mistral_7b/travis.yml"", line 15, column 9 | [travis lint rc=1] /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/alexvasilkov_GestureViews/04_CIgrate_GHA_to_Travis/mistral_7b/travis.yml is not valid YAML: (<unknown>): mapping values are not allowed in this context at line 15 column 9"
CIMig,amzn_ion-java,travis_to_gha,CIMig,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/amzn_ion-java/03_CIMig_Travis_to_GHA/amzn_ion-java_original.yml,False,False,0.0,0.0,actionlint,0,1,False,,0.0,"YAML parse error: while parsing a block mapping /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/amzn_ion-java/03_CIMig_Travis_to_GHA/amzn_ion-java_original.yml"", line 19, column 5 / expected <block end>, but found '-' /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/amzn_ion-java/03_CIMig_Travis_to_GHA/amzn_ion-java_original.yml"", line 32, column 5 | [actionlint rc=1] amzn_ion-java_original.yml:18:0: could not parse as YAML: yaml: line 18: did not find expected key [syntax-check] /    | / 18 |   build: /    |"
CIMig,amzn_ion-java,gha_to_travis,CIMig,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/amzn_ion-java/04_CIMig_GHA_to_Travis/amzn_ion-java_travis.yml,False,False,0.0,0.0,travis lint,0,1,,False,0.0,"YAML parse error: mapping values are not allowed here /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/amzn_ion-java/04_CIMig_GHA_to_Travis/amzn_ion-java_travis.yml"", line 6, column 9 | [travis lint rc=1] /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/amzn_ion-java/04_CIMig_GHA_to_Travis/amzn_ion-java_travis.yml is not valid YAML: (<unknown>): mapping values are not allowed in this context at line 6 column 9"
CIMig,anand1st_sshd-shell-spring-boot,travis_to_gha,CIMig,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/anand1st_sshd-shell-spring-boot/03_CIMig_Travis_to_GHA/anand1st_sshd-shell-spring-boot_original.yml,False,False,0.0,0.0,actionlint,0,1,False,,0.0,"YAML parse error: while scanning a simple key /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/anand1st_sshd-shell-spring-boot/03_CIMig_Travis_to_GHA/anand1st_sshd-shell-spring-boot_original.yml"", line 4, column 3 / could not find expected ':' /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/anand1st_sshd-shell-spring-boot/03_CIMig_Travis_to_GHA/anand1st_sshd-shell-spring-boot_original.yml"", line 6, column 1 | [actionlint rc=1] anand1st_sshd-shell-spring-boot_original.yml:4:0: could not parse as YAML: yaml: line 4: could not find expected ':' [syntax-check] /   | / 4 |   java /   |"
CIMig,anand1st_sshd-shell-spring-boot,gha_to_travis,CIMig,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/anand1st_sshd-shell-spring-boot/04_CIMig_GHA_to_Travis/anand1st_sshd-shell-spring-boot_travis.yml,False,False,0.0,0.0,travis lint,0,1,,False,0.0,"YAML parse error: mapping values are not allowed here /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/anand1st_sshd-shell-spring-boot/04_CIMig_GHA_to_Travis/anand1st_sshd-shell-spring-boot_travis.yml"", line 5, column 9 | [travis lint rc=1] /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/anand1st_sshd-shell-spring-boot/04_CIMig_GHA_to_Travis/anand1st_sshd-shell-spring-boot_travis.yml is not valid YAML: (<unknown>): mapping values are not allowed in this context at line 5 column 9"
Zero-Shot,anand1st_sshd-shell-spring-boot,travis_to_gha,gemma3_12b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/anand1st_sshd-shell-spring-boot/03_CIgrate_Travis_to_GHA/gemma3_12b/actions.yml,True,True,1.0,1.0,actionlint,1,1,True,,1.0,[actionlint rc=0] 
Zero-Shot,anand1st_sshd-shell-spring-boot,travis_to_gha,llama3_1_8b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/anand1st_sshd-shell-spring-boot/03_CIgrate_Travis_to_GHA/llama3_1_8b/actions.yml,True,True,1.0,1.0,actionlint,1,1,True,,1.0,[actionlint rc=0] 
Zero-Shot,anand1st_sshd-shell-spring-boot,travis_to_gha,gpt-4o,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/anand1st_sshd-shell-spring-boot/03_CIgrate_Travis_to_GHA/gpt-4o/actions.yml,True,True,1.0,1.0,actionlint,1,1,True,,1.0,"[actionlint rc=1] actions.yml:13:14: label ""ubuntu-16.04"" is unknown. available labels are ""windows-latest"", ""windows-latest-8-cores"", ""windows-2025"", ""windows-2022"", ""windows-2019"", ""ubuntu-latest"", ""ubuntu-latest-4-cores"", ""ubuntu-latest-8-cores"", ""ubuntu-latest-16-cores"", ""ubuntu-24.04"", ""ubuntu-24.04-arm"", ""ubuntu-22.04"", ""ubuntu-22.04-arm"", ""ubuntu-20.04"", ""macos-latest"", ""macos-latest-xl"", ""macos-latest-xlarge"", ""macos-latest-large"", ""macos-15-xlarge"", ""macos-15-large"", ""macos-15"", ""macos-14-xl"", ""macos-14-xlarge"", ""macos-14-large"", ""macos-14"", ""macos-13-xl"", ""macos-13-xlarge"", ""macos-13-large"", ""macos-13"", ""self-hosted"", ""x64"", ""arm"", ""arm64"", ""linux"", ""macos"", ""windows"". if it is a custom label for self-hosted runner, set list of labels in actionlint.yaml config file [runner-label] /    | / 13 |     runs-on: ubuntu-16.04 /    |              ^~~~~~~~~~~~"
Zero-Shot,anand1st_sshd-shell-spring-boot,travis_to_gha,mistral_7b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/anand1st_sshd-shell-spring-boot/03_CIgrate_Travis_to_GHA/mistral_7b/actions.yml,False,False,0.0,0.0,actionlint,0,1,False,,0.0,"YAML parse error: mapping values are not allowed here /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/anand1st_sshd-shell-spring-boot/03_CIgrate_Travis_to_GHA/mistral_7b/actions.yml"", line 21, column 41 | [actionlint rc=1] actions.yml:21:0: could not parse as YAML: yaml: line 21: mapping values are not allowed in this context [syntax-check] /    | / 21 |         uses: actions/setup-java@v4 with: /    |"
Zero-Shot,anand1st_sshd-shell-spring-boot,gha_to_travis,gemma3_12b,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/anand1st_sshd-shell-spring-boot/04_CIgrate_GHA_to_Travis/gemma3_12b/travis.yml,True,True,1.0,1.0,travis lint,1,1,,True,1.0,[travis lint rc=0] valid
Zero-Shot,anand1st_sshd-shell-spring-boot,gha_to_travis,llama3_1_8b,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/anand1st_sshd-shell-spring-boot/04_CIgrate_GHA_to_Travis/llama3_1_8b/travis.yml,False,False,0.0,0.0,travis lint,0,1,,False,0.0,"YAML parse error: mapping values are not allowed here /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/anand1st_sshd-shell-spring-boot/04_CIgrate_GHA_to_Travis/llama3_1_8b/travis.yml"", line 24, column 21 | [travis lint rc=1] /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/anand1st_sshd-shell-spring-boot/04_CIgrate_GHA_to_Travis/llama3_1_8b/travis.yml is not valid YAML: (<unknown>): mapping values are not allowed in this context at line 24 column 21"
Zero-Shot,anand1st_sshd-shell-spring-boot,gha_to_travis,gpt-4o,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/anand1st_sshd-shell-spring-boot/04_CIgrate_GHA_to_Travis/gpt-4o/travis.yml,True,True,1.0,1.0,travis lint,1,1,,True,1.0,[travis lint rc=0] valid
Zero-Shot,anand1st_sshd-shell-spring-boot,gha_to_travis,mistral_7b,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/anand1st_sshd-shell-spring-boot/04_CIgrate_GHA_to_Travis/mistral_7b/travis.yml,True,True,1.0,1.0,travis lint,1,1,,True,1.0,"[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/anand1st_sshd-shell-spring-boot/04_CIgrate_GHA_to_Travis/mistral_7b/travis.yml: / [x] [error] on root: duplicate key: before_install / [x] [error] on root: duplicate key: script / [x] [error] on language: dropping unknown value: ubuntu / [x] [error] on deploy: missing required key: provider / [x] [error] on before_install: dropping unexpected map, expected str ({:name=>Set up JDK 8, :script=>wget --quiet https://download.java.net/java/GA/jdk8u275-b01/jdk-8u275-linux-x64.tar.gz\ntar -xzf jdk-8u275-linux-x64.tar.gz -C /usr/local\nexport JAVA_HOME=/usr/local/jdk1.8.0_275\nexport PATH=$JAVA_HOME/bin:$PATH\n}) / [x] [error] on install: dropping unexpected map, expected str ({:cache=>{:directories=>[~/.m2/repository, ~/.gradle, $HOME/.npm]}}) / [x] [error] on after_success: dropping unexpected map, expected str ({:name=>Generate and upload coverage, :working-directory=>sshd-shell-spring-boot-starter, :env=>{:COVERALLS_REPO_TOKEN=>$COVERALLS_REPO_TOKEN}, :script=>mvn jacoco:report coveralls:report}) / [x] [error] on jobs.allow_failures: dropping unexpected num, expected map (1) / [x] [warn] on jobs.include: unknown key java ([oraclejdk8, openjdk8])"
Fine-Tuned,anand1st_sshd-shell-spring-boot,travis_to_gha,gemma3_12b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FineTuned/Set_90_10_V_05/anand1st_sshd-shell-spring-boot/03_CIgrate_Travis_to_GHA/gemma3_12b/actions.yml,True,True,1.0,1.0,actionlint,1,1,True,,1.0,[actionlint rc=0] 
Fine-Tuned,anand1st_sshd-shell-spring-boot,gha_to_travis,gemma3_12b,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FineTuned/Set_90_10_V_05/anand1st_sshd-shell-spring-boot/04_CIgrate_GHA_to_Travis/gemma3_12b/travis.yml,True,True,1.0,1.0,travis lint,1,1,,True,1.0,[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FineTuned/Set_90_10_V_05/anand1st_sshd-shell-spring-boot/04_CIgrate_GHA_to_Travis/gemma3_12b/travis.yml: / [x] [warn] on root: deprecated key: sudo (The key `sudo` has no effect anymore.)
Few-Shot,anand1st_sshd-shell-spring-boot,travis_to_gha,gemma3_12b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/anand1st_sshd-shell-spring-boot/03_CIgrate_Travis_to_GHA/gemma3_12b/actions.yml,True,True,1.0,1.0,actionlint,1,1,True,,1.0,[actionlint rc=0] 
Few-Shot,anand1st_sshd-shell-spring-boot,travis_to_gha,llama3_1_8b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/anand1st_sshd-shell-spring-boot/03_CIgrate_Travis_to_GHA/llama3_1_8b/actions.yml,False,False,0.0,0.0,actionlint,0,1,False,,0.0,"YAML parse error: while scanning for the next token / found character '`' that cannot start any token /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/anand1st_sshd-shell-spring-boot/03_CIgrate_Travis_to_GHA/llama3_1_8b/actions.yml"", line 3, column 1 | [actionlint rc=1] actions.yml:3:0: could not parse as YAML: yaml: line 3: found character that cannot start any token [syntax-check] /   | / 3 | ```yaml /   |"
Few-Shot,anand1st_sshd-shell-spring-boot,travis_to_gha,gpt-4o,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/anand1st_sshd-shell-spring-boot/03_CIgrate_Travis_to_GHA/gpt-4o/actions.yml,True,True,1.0,1.0,actionlint,1,1,True,,1.0,"[actionlint rc=1] actions.yml:7:14: label ""ubuntu-16.04"" is unknown. available labels are ""windows-latest"", ""windows-latest-8-cores"", ""windows-2025"", ""windows-2022"", ""windows-2019"", ""ubuntu-latest"", ""ubuntu-latest-4-cores"", ""ubuntu-latest-8-cores"", ""ubuntu-latest-16-cores"", ""ubuntu-24.04"", ""ubuntu-24.04-arm"", ""ubuntu-22.04"", ""ubuntu-22.04-arm"", ""ubuntu-20.04"", ""macos-latest"", ""macos-latest-xl"", ""macos-latest-xlarge"", ""macos-latest-large"", ""macos-15-xlarge"", ""macos-15-large"", ""macos-15"", ""macos-14-xl"", ""macos-14-xlarge"", ""macos-14-large"", ""macos-14"", ""macos-13-xl"", ""macos-13-xlarge"", ""macos-13-large"", ""macos-13"", ""self-hosted"", ""x64"", ""arm"", ""arm64"", ""linux"", ""macos"", ""windows"". if it is a custom label for self-hosted runner, set list of labels in actionlint.yaml config file [runner-label] /   | / 7 |     runs-on: ubuntu-16.04 /   |              ^~~~~~~~~~~~"
Few-Shot,anand1st_sshd-shell-spring-boot,travis_to_gha,mistral_7b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/anand1st_sshd-shell-spring-boot/03_CIgrate_Travis_to_GHA/mistral_7b/actions.yml,True,True,1.0,1.0,actionlint,1,1,True,,1.0,"[actionlint rc=1] actions.yml:11:18: context ""env"" is not allowed here. available contexts are ""github"", ""inputs"", ""matrix"", ""needs"", ""strategy"", ""vars"". see https://docs.github.com/en/actions/learn-github-actions/contexts#context-availability for more details [expression] /    | / 11 |     runs-on: ${{ env.global }} /    |                  ^~~~~~~~~~"
Few-Shot,anand1st_sshd-shell-spring-boot,gha_to_travis,gemma3_12b,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/anand1st_sshd-shell-spring-boot/04_CIgrate_GHA_to_Travis/gemma3_12b/travis.yml,True,True,1.0,1.0,travis lint,1,1,,True,1.0,"[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/anand1st_sshd-shell-spring-boot/04_CIgrate_GHA_to_Travis/gemma3_12b/travis.yml: / [x] [error] on script: dropping unexpected map, expected str ({:working_directory=>sshd-shell-spring-boot-starter, :env=>{:COVERALLS_REPO_TOKEN=>$COVERALLS_REPO_TOKEN}}) / [x] [warn] on root: deprecated key: sudo (The key `sudo` has no effect anymore.)"
Few-Shot,anand1st_sshd-shell-spring-boot,gha_to_travis,llama3_1_8b,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/anand1st_sshd-shell-spring-boot/04_CIgrate_GHA_to_Travis/llama3_1_8b/travis.yml,False,False,0.0,0.0,travis lint,0,1,,False,0.0,"YAML parse error: while scanning for the next token / found character '`' that cannot start any token /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/anand1st_sshd-shell-spring-boot/04_CIgrate_GHA_to_Travis/llama3_1_8b/travis.yml"", line 3, column 1 | [travis lint rc=1] /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/anand1st_sshd-shell-spring-boot/04_CIgrate_GHA_to_Travis/llama3_1_8b/travis.yml is not valid YAML: (<unknown>): found character that cannot start any token while scanning for the next token at line 3 column 1"
Few-Shot,anand1st_sshd-shell-spring-boot,gha_to_travis,gpt-4o,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/anand1st_sshd-shell-spring-boot/04_CIgrate_GHA_to_Travis/gpt-4o/travis.yml,True,True,1.0,1.0,travis lint,1,1,,True,1.0,[travis lint rc=0] valid
Few-Shot,anand1st_sshd-shell-spring-boot,gha_to_travis,mistral_7b,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/anand1st_sshd-shell-spring-boot/04_CIgrate_GHA_to_Travis/mistral_7b/travis.yml,True,True,1.0,1.0,travis lint,1,1,,True,1.0,[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/anand1st_sshd-shell-spring-boot/04_CIgrate_GHA_to_Travis/mistral_7b/travis.yml: / [x] [warn] on addons: unknown key maven ({:version=>3.6.3}) / [x] [warn] on root: deprecated key: sudo (The key `sudo` has no effect anymore.)
CIMig,anastaciocintra_escpos-coffee,travis_to_gha,CIMig,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/anastaciocintra_escpos-coffee/03_CIMig_Travis_to_GHA/anastaciocintra_escpos-coffee_original.yml,False,False,0.0,0.0,actionlint,0,1,False,,0.0,"YAML parse error: while parsing a block mapping /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/anastaciocintra_escpos-coffee/03_CIMig_Travis_to_GHA/anastaciocintra_escpos-coffee_original.yml"", line 10, column 5 / expected <block end>, but found '-' /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/anastaciocintra_escpos-coffee/03_CIMig_Travis_to_GHA/anastaciocintra_escpos-coffee_original.yml"", line 18, column 5 | [actionlint rc=1] anastaciocintra_escpos-coffee_original.yml:9:0: could not parse as YAML: yaml: line 9: did not find expected key [syntax-check] /   | / 9 |   build: /   |"
CIMig,anastaciocintra_escpos-coffee,gha_to_travis,CIMig,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/anastaciocintra_escpos-coffee/04_CIMig_GHA_to_Travis/anastaciocintra_escpos-coffee_travis.yml,False,False,0.0,0.0,travis lint,0,1,,False,0.0,"YAML parse error: mapping values are not allowed here /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/anastaciocintra_escpos-coffee/04_CIMig_GHA_to_Travis/anastaciocintra_escpos-coffee_travis.yml"", line 5, column 9 | [travis lint rc=1] /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/anastaciocintra_escpos-coffee/04_CIMig_GHA_to_Travis/anastaciocintra_escpos-coffee_travis.yml is not valid YAML: (<unknown>): mapping values are not allowed in this context at line 5 column 9"
Zero-Shot,anastaciocintra_escpos-coffee,travis_to_gha,gemma3_12b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/anastaciocintra_escpos-coffee/03_CIgrate_Travis_to_GHA/gemma3_12b/actions.yml,True,True,1.0,1.0,actionlint,1,1,True,,1.0,[actionlint rc=1] actions.yml:28:9: shellcheck reported issue in this script: SC2086:info:1:43: Double quote to prevent globbing and word splitting [shellcheck] /    | / 28 |       - run: | /    |         ^~~~ / actions.yml:28:9: shellcheck reported issue in this script: SC2086:info:2:42: Double quote to prevent globbing and word splitting [shellcheck] /    | / 28 |       - run: | /    |         ^~~~
Zero-Shot,anastaciocintra_escpos-coffee,travis_to_gha,llama3_1_8b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/anastaciocintra_escpos-coffee/03_CIgrate_Travis_to_GHA/llama3_1_8b/actions.yml,False,False,0.0,0.0,actionlint,0,1,False,,0.0,"YAML parse error: mapping values are not allowed here /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/anastaciocintra_escpos-coffee/03_CIgrate_Travis_to_GHA/llama3_1_8b/actions.yml"", line 25, column 23 | [actionlint rc=1] actions.yml:25:0: could not parse as YAML: yaml: line 25: mapping values are not allowed in this context [syntax-check] /    | / 25 |           distribution: temurin /    |"
Zero-Shot,anastaciocintra_escpos-coffee,travis_to_gha,gpt-4o,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/anastaciocintra_escpos-coffee/03_CIgrate_Travis_to_GHA/gpt-4o/actions.yml,True,True,1.0,1.0,actionlint,1,1,True,,1.0,[actionlint rc=1] actions.yml:37:9: shellcheck reported issue in this script: SC2086:info:1:6: Double quote to prevent globbing and word splitting [shellcheck] /    | / 37 |         run: echo $GPG_SECRET_KEYS | base64 --decode | gpg --import /    |         ^~~~ / actions.yml:41:9: shellcheck reported issue in this script: SC2086:info:1:6: Double quote to prevent globbing and word splitting [shellcheck] /    | / 41 |         run: echo $GPG_OWNERTRUST | base64 --decode | gpg --import-ownertrust /    |         ^~~~
Zero-Shot,anastaciocintra_escpos-coffee,travis_to_gha,mistral_7b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/anastaciocintra_escpos-coffee/03_CIgrate_Travis_to_GHA/mistral_7b/actions.yml,False,False,0.0,0.0,actionlint,0,1,False,,0.0,"YAML parse error: mapping values are not allowed here /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/anastaciocintra_escpos-coffee/03_CIgrate_Travis_to_GHA/mistral_7b/actions.yml"", line 21, column 41 | [actionlint rc=1] actions.yml:21:0: could not parse as YAML: yaml: line 21: mapping values are not allowed in this context [syntax-check] /    | / 21 |         uses: actions/setup-java@v4 with: /    |"
